Y_US_all_obs,Pi_US_all_obs,R_US_all_obs
1.100218235,-0.09892861,0.512915123
1.326756143,0.264026617,0.633208682
0.883398143,0.33527539,0.836733893
1.134557193,0.210408663,0.955844116
1.071534515,0.253118288,1.19327138
0.787979585,0.727206224,1.26338501
0.514132969,-0.096994841,1.10632625
-0.202364663,0.13476609,0.991149314
-0.049058124,0.830237118,0.902570337
-0.547734781,0.108198766,0.900912172
-1.237080422,0.834801048,0.880516516
-2.685798774,0.808974096,0.776652766
-3.539221555,-0.131236331,0.452714077
-3.16640393,-0.284823411,0.316178977
-3.05191604,-0.116898923,0.261529446
-3.062273505,-0.050233655,0.055430173
-2.30959065,-0.200809634,-0.138166269
-1.729693162,-0.109964486,-0.200900907
-1.291419361,-0.115805158,-0.328112383
-0.850057033,-0.004194421,-0.382924069
-1.217706768,-0.151378125,-0.381833657
-1.167295189,-0.156655452,-0.391783848
-1.204638517,-0.414737805,-0.376876828
-0.46278849,-0.050913086,-0.394246051
-0.147451766,-0.375239096,-0.339390765
0.461611369,-0.309819905,-0.161381487
0.323078524,0.045628709,-0.024533926
0.68519959,-0.295832899,0.14233029
0.310028544,-0.144529896,0.302253769
-0.069490747,-0.062097813,0.354836488
0.079320883,-0.373496706,0.299782376
0.059825357,-0.332633473,0.280768871
0.102938348,0.008753985,0.192510825
0.932901844,-0.020050976,0.163365117
0.985107487,-0.302578461,0.178876391
1.144650792,-0.011342975,0.172402412
0.933965852,-0.268716382,0.171436787
1.619790883,-0.646876959,0.232430128
1.851089855,-0.377737341,0.234909413
1.698463901,-0.338623218,0.228333487
1.672399919,-0.670321211,0.231604163
1.571623042,-0.547764717,0.226645176
1.752567285,-0.364830174,0.234904951
2.208602372,-0.408179233,0.068084889
2.01076178,-0.511360093,0.037294462
1.667197702,-0.130428203,0.040737461
1.820175454,-0.136316089,0.126134073
2.273885234,-0.141167439,0.178814462
1.494034775,0.107627672,0.269634076
2.069793889,-0.095212168,0.416370296
1.086483354,0.033613285,0.47791187
0.644069013,-0.16577905,0.466385401
-0.539879117,0.075761147,0.247966547
-0.810906338,-0.178010936,-0.066482968
-1.913281425,-0.594149664,-0.272018572
-2.259052796,-0.951251629,-0.611387996
-2.018820879,-0.557745028,-0.706545662
-2.024823389,-0.093029014,-0.702395465
-2.152858131,-0.339279865,-0.704889375
-2.49872326,-0.286819191,-0.782746213
-2.431408647,0.146520691,-0.826935129
-2.086864784,-1.039628227,-0.827795021
-1.045280039,-0.133017073,-0.885107861
-0.600211589,-0.497118597,-0.890103979
-0.738565395,-0.033700408,-0.8884247
-0.654949022,-0.094197271,-0.886783991
-0.417582168,-0.240219372,-0.783027759
-0.157906934,0.19159375,-0.654328095
0.161314986,-0.372806469,-0.524403689
-0.120627855,-0.20230019,-0.406317154
0.007023437,0.62351967,-0.27847282
-0.106828707,0.055025213,-0.149617722
0.399189222,-0.356684049,-0.031370404
-0.11271541,0.021821435,0.080079964
-0.627896533,0.063273827,0.164197071
-0.466549188,-1.287455873,0.164197071
-0.85717325,0.098968341,0.166664674
-0.897565574,0.25019833,0.165020135
-0.950915465,-0.24516677,0.120970389
-0.933327701,0.342044677,-0.022285359
-1.942920718,0.201762267,-0.359653723
-1.854873134,0.414246936,-0.61971647
-2.686312339,0.656050492,-0.655669124
-4.826609922,-3.19908342,-1.040831416
-5.73050202,-1.560733181,-1.093675382
-5.610826322,-0.346777175,-1.094371735
-5.015042808,-0.018929354,-1.099800201
-3.814990414,-0.096349273,-1.108945715
-3.352911204,-0.717807673,-1.10600398
-2.454349538,-0.911599551,-1.090678395
-1.808562492,-0.583677844,-1.092300491
-1.433279732,-0.070144585,-1.092300491
-1.7408815,0.18500687,-1.099909208
-1.162074123,0.25475632,-1.115639687
-1.293169543,-0.226501493,-1.118336912
-0.36546546,-0.428231164,-1.120646361
0.122528555,-0.314837804,-1.113615438
0.241455631,-0.665370497,-1.100689909
0.086083875,-0.42672665,-1.103247402
-0.068772091,-0.212675924,-1.098949214
0.467431981,-0.475385906,-1.103133384
0.269286197,-0.985700588,-1.110423139
0.66788438,-0.336937249,-1.118142541
1.02326435,-0.507333707,-1.117309812
0.383092554,-0.255384467,-1.120646361
1.242541855,-0.346653431,-1.115639687
1.868270413,-0.620729759,-1.116443747
1.82910728,-1.125287058,-1.114179828
1.971963328,-1.540765385,-1.111444997
2.042269199,-0.191056136,-1.108134761
1.729395116,-0.486676151,-1.104801046
1.181343533,-0.872493853,-1.101150726
1.102742502,-0.914767289,-1.049074297
0.995945044,-0.161628025,-1.045658801
0.956688657,-0.411680073,-1.039830723
0.879843076,-0.228858865,-1.027568876
0.860881508,-0.190550031,-0.964791307
0.808836932,-0.779991565,-0.902241175
0.978992627,-0.344298674,-0.851025163
1.192126389,-0.102604378,-0.839033023
1.157539817,-0.079802877,-0.778098717
1.321363022,-0.344937676,-0.705960586
1.328867749,-0.378556434,-0.659283086
0.930903571,-0.507551166,-0.585546099
1.004529887,-0.658337957,-0.539906837
0.83512794,-0.15699188,-0.541577355
0.649880477,-0.45175469,-0.594233336
0.480702958,-0.269253829,-0.730223294
-1.226343332,-0.553811841,-0.847461975
-9.739681192,-1.730663943,-1.124322196
-2.558525474,0.294201605,-1.115639687
-1.650887374,-0.322146639,-1.116443747
-0.482970834,0.131921794,-1.119047909
0.633337852,1.089881425,-1.121562593
0.678782616,0.750271943,-1.116536702
1.671464784,1.026480143,-1.118943216
0.721926555,1.322022732,-1.111800723
0.106525415,1.62590639,-0.97034912
