Y_US_all_obs,Pi_US_all_obs,R_US_all_obs
-0.16850674,-0.09892861,0.512915123
0.099379258,0.264026617,0.633208682
-0.265154905,0.33527539,0.836733893
0.040518034,0.210408663,0.955844116
0.034373265,0.253118288,1.19327138
-0.172046918,0.727206224,1.26338501
-0.350987169,-0.096994841,1.10632625
-0.918930603,0.13476609,0.991149314
-0.640916015,0.830237118,0.902570337
-0.983618589,0.108198766,0.900912172
-1.472039188,0.834801048,0.880516516
-2.61389357,0.808974096,0.776652766
-3.11207605,-0.131236331,0.452714077
-2.444964747,-0.284823411,0.316178977
-2.074979408,-0.116898923,0.261529446
-1.857633424,-0.050233655,0.055430173
-0.969181715,-0.200809634,-0.138166269
-0.32633033,-0.109964486,-0.200900907
0.118863792,-0.115805158,-0.328112383
0.515556936,-0.004194421,-0.382924069
0.12525006,-0.151378125,-0.381833657
0.140967788,-0.156655452,-0.391783848
0.066799604,-0.414737805,-0.376876828
0.705340674,-0.050913086,-0.394246051
0.891940795,-0.375239096,-0.339390765
1.3252939,-0.309819905,-0.161381487
1.03202873,0.045628709,-0.024533926
1.219161037,-0.295832899,0.14233029
0.714039871,-0.144529896,0.302253769
0.249308991,-0.062097813,0.354836488
0.311250886,-0.373496706,0.299782376
0.21762446,-0.332633473,0.280768871
0.193416299,0.008753985,0.192510825
0.895583172,-0.020050976,0.163365117
0.828451137,-0.302578461,0.178876391
0.868215091,-0.011342975,0.172402412
0.569183026,-0.268716382,0.171436787
1.120723358,-0.646876959,0.232430128
1.212621395,-0.377737341,0.234909413
0.94884696,-0.338623218,0.228333487
0.828181911,-0.670321211,0.231604163
0.654869035,-0.547764717,0.226645176
0.760089005,-0.364830174,0.234904951
1.11355797,-0.408179233,0.068084889
0.842858554,-0.511360093,0.037294462
0.467062877,-0.130428203,0.040737461
0.583855342,-0.136316089,0.126134073
0.971272462,-0.141167439,0.178814462
0.20065941,0.107627672,0.269634076
0.742098522,-0.095212168,0.416370296
-0.185611988,0.033613285,0.47791187
-0.533393395,-0.16577905,0.466385401
-1.524232122,0.075761147,0.247966547
-1.588012844,-0.178010936,-0.066482968
-2.401954249,-0.594149664,-0.272018572
-2.449024307,-0.951251629,-0.611387996
-1.953275278,-0.557745028,-0.706545662
-1.72658773,-0.093029014,-0.702395465
-1.634935808,-0.339279865,-0.704889375
-1.756065503,-0.286819191,-0.782746213
-1.495045852,0.146520691,-0.826935129
-1.010447753,-1.039628227,-0.827795021
0.060983738,-0.133017073,-0.885107861
0.482611135,-0.497118597,-0.890103979
0.321791514,-0.033700408,-0.8884247
0.36739355,-0.094197271,-0.886783991
0.540896878,-0.240219372,-0.783027759
0.71212364,0.19159375,-0.654328095
0.916386569,-0.372806469,-0.524403689
0.547249864,-0.20230019,-0.406317154
0.581184181,0.62351967,-0.27847282
0.389139324,0.055025213,-0.149617722
0.780157942,-0.356684049,-0.031370404
0.205450228,0.021821435,0.080079964
-0.321675779,0.063273827,0.164197071
-0.181283692,-1.287455873,0.164197071
-0.555087772,0.098968341,0.166664674
-0.57288502,0.25019833,0.165020135
-0.597840338,-0.24516677,0.120970389
-0.553102093,0.342044677,-0.022285359
-1.450202979,0.201762267,-0.359653723
-1.262442726,0.414246936,-0.61971647
-1.929838982,0.656050492,-0.655669124
-3.735123384,-3.19908342,-1.040831416
-4.248628618,-1.560733181,-1.093675382
-3.77676478,-0.346777175,-1.094371735
-2.90936214,-0.018929354,-1.099800201
-1.568138563,-0.096349273,-1.108945715
-1.027142718,-0.717807673,-1.10600398
-0.144974444,-0.911599551,-1.090678395
0.416974917,-0.583677844,-1.092300491
0.669943357,-0.070144585,-1.092300491
0.264512205,0.18500687,-1.099909208
0.69647824,0.25475632,-1.115639687
0.434484583,-0.226501493,-1.118336912
1.158986261,-0.428231164,-1.120646361
1.414346417,-0.314837804,-1.113615438
1.306541204,-0.665370497,-1.100689909
0.955778525,-0.42672665,-1.103247402
0.637171741,-0.212675924,-1.098949214
0.982167759,-0.475385906,-1.103133384
0.629675773,-0.985700588,-1.110423139
0.859071306,-0.336937249,-1.118142541
1.035023118,-0.507333707,-1.117309812
0.290602361,-0.255384467,-1.120646361
0.99024383,-0.346653431,-1.115639687
1.422656381,-0.620729759,-1.116443747
1.21504982,-1.125287058,-1.114179828
1.198229796,-1.540765385,-1.111444997
1.123518156,-0.191056136,-1.108134761
0.712092626,-0.486676151,-1.104801046
0.129356461,-0.872493853,-1.101150726
0.036025915,-0.914767289,-1.049074297
-0.065681564,-0.161628025,-1.045658801
-0.08829693,-0.411680073,-1.039830723
-0.135876865,-0.228858865,-1.027568876
-0.119930038,-0.190550031,-0.964791307
-0.130251098,-0.779991565,-0.902241175
0.068038091,-0.344298674,-0.851025163
0.291687763,-0.102604378,-0.839033023
0.271226031,-0.079802877,-0.778098717
0.435403394,-0.344937676,-0.705960586
0.443131957,-0.378556434,-0.659283086
0.079594141,-0.507551166,-0.585546099
0.179976633,-0.658337957,-0.539906837
0.050160689,-0.15699188,-0.541577355
-0.082318938,-0.45175469,-0.594233336
-0.188038835,-0.269253829,-0.730223294
-1.691486376,-0.553811841,-0.847461975
-9.291106806,-1.730663943,-1.124322196
-1.857418753,0.294201605,-1.115639687
-0.803391055,-0.322146639,-1.116443747
0.387486012,0.131921794,-1.119047909
1.414955147,1.089881425,-1.121562593
1.358833252,0.750271943,-1.116536702
2.160970733,1.026480143,-1.118943216
1.104448691,1.322022732,-1.111800723
0.43670781,1.62590639,-0.97034912
