Y_US_all_obs,Pi_US_all_obs,R_US_all_obs
1.417650882,-0.09892861,0.512915123
1.656334148,0.264026617,0.633208682
1.217476241,0.33527539,0.836733893
1.475485327,0.210408663,0.955844116
1.417295834,0.253118288,1.19327138
1.133485485,0.727206224,1.26338501
0.854512761,-0.096994841,1.10632625
0.121787326,0.13476609,0.991149314
0.260320857,0.830237118,0.902570337
-0.260798608,0.108198766,0.900912172
-0.98284157,0.834801048,0.880516516
-2.485209454,0.808974096,0.776652766
-3.404524592,-0.131236331,0.452714077
-3.091954891,-0.284823411,0.316178977
-3.035336108,-0.116898923,0.261529446
-3.102640952,-0.050233655,0.055430173
-2.394793727,-0.200809634,-0.138166269
-1.849830898,-0.109964486,-0.200900907
-1.438477941,-0.115805158,-0.328112383
-1.015929553,-0.004194421,-0.382924069
-1.405878055,-0.151378125,-0.381833657
-1.375367265,-0.156655452,-0.391783848
-1.431516416,-0.414737805,-0.376876828
-0.696285855,-0.050913086,-0.394246051
-0.381515241,-0.375239096,-0.339390765
0.237112491,-0.309819905,-0.161381487
0.107433733,0.045628709,-0.024533926
0.484639056,-0.295832899,0.14233029
0.120057499,-0.144529896,0.302253769
-0.253654871,-0.062097813,0.354836488
-0.09642426,-0.373496706,0.299782376
-0.107389552,-0.332633473,0.280768871
-0.054844802,0.008753985,0.192510825
0.796623339,-0.020050976,0.163365117
0.871221615,-0.302578461,0.178876391
1.055419264,-0.011342975,0.172402412
0.866206657,-0.268716382,0.171436787
1.582995619,-0.646876959,0.232430128
1.848165351,-0.377737341,0.234909413
1.726667481,-0.338623218,0.228333487
1.730628344,-0.670321211,0.231604163
1.657576666,-0.547764717,0.226645176
1.867871559,-0.364830174,0.234904951
2.358753825,-0.408179233,0.068084889
2.191839999,-0.511360093,0.037294462
1.87307979,-0.130428203,0.040737461
2.051763835,-0.136316089,0.126134073
2.536378288,-0.141167439,0.178814462
1.774973616,0.107627672,0.269634076
2.376033567,-0.095212168,0.416370296
1.402628582,0.033613285,0.47791187
0.962409815,-0.16577905,0.466385401
-0.237587386,0.075761147,0.247966547
-0.529750503,-0.178010936,-0.066482968
-1.6700032,-0.594149664,-0.272018572
-2.059350048,-0.951251629,-0.611387996
-1.859667722,-0.557745028,-0.706545662
-1.906358558,-0.093029014,-0.702395465
-2.076682075,-0.339279865,-0.704889375
-2.469308054,-0.286819191,-0.782746213
-2.44709417,0.146520691,-0.826935129
-2.141782474,-1.039628227,-0.827795021
-1.123372473,-0.133017073,-0.885107861
-0.693783689,-0.497118597,-0.890103979
-0.848254314,-0.033700408,-0.8884247
-0.778276465,-0.094197271,-0.886783991
-0.54990947,-0.240219372,-0.783027759
-0.294322011,0.19159375,-0.654328095
0.026505245,-0.372806469,-0.524403689
-0.256837776,-0.20230019,-0.406317154
-0.127877044,0.62351967,-0.27847282
-0.241258327,0.055025213,-0.149617722
0.273154915,-0.356684049,-0.031370404
-0.237063707,0.021821435,0.080079964
-0.757469375,0.063273827,0.164197071
-0.598663402,-1.287455873,0.164197071
-0.997048533,0.098968341,0.166664674
-1.045452785,0.25019833,0.165020135
-1.10723882,-0.24516677,0.120970389
-1.097484237,0.342044677,-0.022285359
-2.12899359,0.201762267,-0.359653723
-2.061268425,0.414246936,-0.61971647
-2.924482925,0.656050492,-0.655669124
-5.126692989,-3.19908342,-1.040831416
-6.104871168,-1.560733181,-1.093675382
-6.056885607,-0.346777175,-1.094371735
-5.522972172,-0.018929354,-1.099800201
-4.365958082,-0.096349273,-1.108945715
-3.93837111,-0.717807673,-1.10600398
-3.059425553,-0.911599551,-1.090678395
-2.421964023,-0.583677844,-1.092300491
-2.047672597,-0.070144585,-1.092300491
-2.358869561,0.18500687,-1.099909208
-1.773797355,0.25475632,-1.115639687
-1.8990697,-0.226501493,-1.118336912
-0.951051232,-0.428231164,-1.120646361
-0.434691896,-0.314837804,-1.113615438
-0.284878646,-0.665370497,-1.100689909
-0.411058349,-0.42672665,-1.103247402
-0.538692066,-0.212675924,-1.098949214
0.032418675,-0.475385906,-1.103133384
-0.133812386,-0.985700588,-1.110423139
0.302020262,-0.336937249,-1.118142541
0.699180059,-0.507333707,-1.117309812
0.090908287,-0.255384467,-1.120646361
0.993614232,-0.346653431,-1.115639687
1.670542411,-0.620729759,-1.116443747
1.680856797,-1.125287058,-1.114179828
1.873860067,-1.540765385,-1.111444997
1.993776362,-0.191056136,-1.108134761
1.724335803,-0.486676151,-1.104801046
1.210025157,-0.872493853,-1.101150726
1.162092853,-0.914767289,-1.049074297
1.082488059,-0.161628025,-1.045658801
1.067934698,-0.411680073,-1.039830723
1.012808592,-0.228858865,-1.027568876
1.013465756,-0.190550031,-0.964791307
0.97853638,-0.779991565,-0.902241175
1.166559412,-0.344298674,-0.851025163
1.399020722,-0.102604378,-0.839033023
1.381754545,-0.079802877,-0.778098717
1.563779121,-0.344937676,-0.705960586
1.588193463,-0.378556434,-0.659283086
1.200087622,-0.507551166,-0.585546099
1.283301317,-0.658337957,-0.539906837
1.119832587,-0.15699188,-0.541577355
0.936712637,-0.45175469,-0.594233336
0.76617756,-0.269253829,-0.730223294
-0.967616982,-0.553811841,-0.847461975
-9.630463582,-1.730663943,-1.124322196
-2.49700786,0.294201605,-1.115639687
-1.623601489,-0.322146639,-1.116443747
-0.472413467,0.131921794,-1.119047909
0.644121886,1.089881425,-1.121562593
0.691465817,0.750271943,-1.116536702
1.701154832,1.026480143,-1.118943216
0.755852348,1.322022732,-1.111800723
0.136441689,1.62590639,-0.97034912
